id;occured_date;job_title;description;salary;contact;type
1;2020-02-13;Future Division Manager;Massachusetts;93285;AI Hat;CALL
2;2020-02-13;International Data Architect;invoice reintermediate olive;50208;Central interfaces;PHYSICAL
3;2020-02-14;Corporate Quality Supervisor;Practical purple Licensed Steel Pants;53412;Arizona Estonia 24 hour;REMOTE
4;2020-02-14;Central Accounts Technician;Rustic Metal Chicken Avon;87424;Algeria;CALL
5;2020-02-13;Corporate Security Engineer;Product Tasty Wooden Shoes;86688;SMS;CALL
6;2020-02-13;Regional Interactions Liaison;Internal Advanced;61104;Bahrain;REMOTE
7;2020-02-14;Product Implementation Designer;Rupiah;77251;Ohio Universal pink;CALL
8;2020-02-14;Product Applications Assistant;withdrawal firmware;69222;Handcrafted;CALL
9;2020-02-14;Senior Applications Agent;Frozen Coordinator;12545;port Agent Glen;CALL
10;2020-02-13;Product Directives Officer;Frozen;79974;HDD leading edge;REMOTE
