id;company_name;place;contact_from
1;Estate high-level Palestinian Territory;generating;POLE_EMPLOI
2;application white Borders;HDD;PERSONNAL
3;Officer Rustic Keyboard;grow Assistant;LINKEDIN
4;Rubber generating Prairie;deposit visionary Soft;POLE_EMPLOI
5;card violet Checking Account;focus group;POLE_EMPLOI
6;pink sensor Balanced;1080p Program Virtual;POLE_EMPLOI
7;architecture;Maine Cambridgeshire overriding;APEC
8;homogeneous North Carolina payment;Terrace Human Books;POLE_EMPLOI
9;Markets Russian Ruble;customized;APEC
10;teal Dynamic Administrator;Division;POLE_EMPLOI
