id;v_2_product_name;v_2_product_category;units_sold;revenue
1;COM Venezuela;orange CSS monitor;541;238
2;project Personal Loan Account;intuitive synergies sensor;42042;22011
3;end-to-end Garden Agent;Automated Directives Fresh;62938;81755
4;withdrawal compress;Consultant Bedfordshire;80330;22599
5;primary;Bedfordshire moratorium;19014;53302
6;Mongolia Rustic Granite Tuna;Personal Loan Account Chips;26769;39938
7;Forge Corporate;solid state neural;96900;58392
8;pixel North Dakota;systematic Down-sized Bolivar Fuerte;56466;22102
9;architectures Outdoors connecting;Assistant;53629;43674
10;CFA Franc BEAC Personal Loan Account;connect Rhode Island;96806;16855
